127.0.0.1 - - [22/May/2023:23:19:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:03 +0900] "GET /assetManagement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/ HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/css/index.css HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/css/login.css HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/css/spinner.css HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/js/index.js HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/images/equipment_main.jpg HTTP/1.1" 200 3178478
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:04 +0900] "GET /assetManagement/images/loader.gif HTTP/1.1" 200 10453
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:15 +0900] "POST /assetManagement/login/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:15 +0900] "GET /assetManagement/login/menu.do HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:15 +0900] "GET /assetManagement/css/menu.css HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:15 +0900] "GET /assetManagement/images/testImage.png HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:15 +0900] "GET /assetManagement/js/menu.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:38 +0900] "GET /assetManagement/login/menu.do HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:38 +0900] "GET /assetManagement/css/index.css HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [22/May/2023:23:21:38 +0900] "GET /assetManagement/css/menu.css HTTP/1.1" 200 1214
